Week,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,DC3A,DC3B,DC3B-SEC
1,What is a computer?,Devices at home,Input vs output,Parts of a computer,Hardware vs software,Types of computers,Computer systems,Data vs information,Digital systems,Architecture basics,Computing in society,Evolution of computing,Datos vs información,Computación en la sociedad,Sistemas digitales
2,Technology around me,Draw a computer,Input devices,Functions of parts,Software types,Devices usage,Components interaction,Data representation,Binary (conceptual),CPU & memory,Ethics,AI impact,Representación de datos,Ética,Binario (conceptual)
3,Uses of computers,Tech in school,Input uses,Storage,OS concept,File organization,Troubleshooting,Encoding,Processing info,OS roles,Privacy,Cybersecurity,Codificación,Privacidad,Procesamiento de información
4,Class rules,Good vs bad use,Responsible use,Digital rules,Citizenship,Online safety,Footprint,Privacy,Security risks,Networks,Encryption,Security tradeoffs,Privacidad,Cifrado,Riesgos de seguridad
5,Patterns,Sequences,Patterns,Algorithms,Instruction flow,Pseudocode,Flowcharts,Decomposition,Efficiency,Sorting,Optimization,Limits,Descomposición,Optimización,Eficiencia
6,Instructions,Steps,Write steps,Debugging,Conditions,If/then,Nested logic,Decision trees,Logic reasoning,Boolean,Logic systems,Formal logic,Árboles de decisión,Sistemas lógicos,Razonamiento lógico
7,Sorting,Grouping,Categories,Classification,Tables,Organizing,Data types,Structures,Databases,Modeling,Big data,Data ethics,Estructuras,Big data,Bases de datos
8,Drawing,Interfaces,Layout,UI elements,Design basics,UX,Evaluation,User design,System design,Tradeoffs,Product thinking,HCI,Diseño para el usuario,Pensamiento de producto,Diseño de sistemas
9,Machines help,Automation,Everyday automation,What is automation,Systems,Sensors,Control,Smart devices,IoT,Impact,Industry,Future,Dispositivos inteligentes,Industria,Internet de las cosas
10,Storytelling,Steps story,Sequence story,Algorithm story,Logic story,Branching,Logic storytelling,Scenario,Systems thinking,Complex systems,Modeling,Analysis,Escenario,Modelado,Pensamiento sistémico
11,Computer care,Taking care devices,Safe use,Lab rules,Maintenance,Troubleshooting steps,Preventive care,System issues,Reliability,Failure analysis,Risk management,System resilience,Problemas del sistema,Gestión de riesgos,Confiabilidad
12,Keyboard basics,Keys types,Typing logic,Shortcuts,Efficiency,Workflow,Input optimization,Human input limits,UX input design,Productivity systems,Ergonomics,Human factors,Límites de la entrada humana,Ergonomía,Diseño de entradas (UX)
13,Mouse use,Click actions,Precision,Navigation,UI navigation,Efficiency,Interaction design,Usability,UX evaluation,Interface optimization,UX metrics,Design systems,Usabilidad,Métricas de UX,Evaluación de la experiencia de usuario
